month,l,m,s,sd,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3,age_cat_1,sex
0,1,49.884201,.037950002,1.8931,44.200001,46.099998,48,49.900002,51.799999,53.700001,55.599998,0-2,1
0,1,49.147701,.037900001,1.8627,43.599998,45.400002,47.299999,49.099998,51,52.900002,54.700001,0-2,0
1,1,53.687199,.036400001,1.9542,47.799999,49.799999,51.700001,53.700001,55.599998,57.599998,59.5,0-2,0
1,1,54.7244,.035569999,1.9464999,48.900002,50.799999,52.799999,54.700001,56.700001,58.599998,60.599998,0-2,1
2,1,58.4249,.03424,2.0005,52.400002,54.400002,56.400002,58.400002,60.400002,62.400002,64.400002,0-2,1
2,1,57.067299,.03568,2.0362,51,53,55,57.099998,59.099998,61.099998,63.200001,0-2,0
3,1,59.802898,.0352,2.1050999,53.5,55.599998,57.700001,59.799999,61.900002,64,66.099998,0-2,0
3,1,61.429199,.03328,2.0444,55.299999,57.299999,59.400002,61.400002,63.5,65.5,67.599998,0-2,1
4,1,62.089901,.03486,2.1645,55.599998,57.799999,59.900002,62.099998,64.300003,66.400002,68.599998,0-2,0
4,1,63.886002,.032570001,2.0808001,57.599998,59.700001,61.799999,63.900002,66,68,70.099998,0-2,1
5,1,64.030098,.034630001,2.2174001,57.400002,59.599998,61.799999,64,66.199997,68.5,70.699997,0-2,0
5,1,65.902603,.03204,2.1115,59.599998,61.700001,63.799999,65.900002,68,70.099998,72.199997,0-2,1
6,1,65.731102,.034480002,2.2664001,58.900002,61.200001,63.5,65.699997,68,70.300003,72.5,0-2,0
6,1,67.623596,.031649999,2.1403,61.200001,63.299999,65.5,67.599998,69.800003,71.900002,74,0-2,1
7,1,69.164497,.03139,2.1710999,62.700001,64.800003,67,69.199997,71.300003,73.5,75.699997,0-2,1
7,1,67.2873,.03441,2.3153999,60.299999,62.700001,65,67.300003,69.599998,71.900002,74.199997,0-2,0
8,1,70.599403,.031239999,2.2054999,64,66.199997,68.400002,70.599998,72.800003,75,77.199997,0-2,1
8,1,68.749802,.034400001,2.365,61.700001,64,66.400002,68.699997,71.099998,73.5,75.800003,0-2,0
9,1,71.968697,.031169999,2.2433,65.199997,67.5,69.699997,72,74.199997,76.5,78.699997,0-2,1
9,1,70.143501,.03444,2.4157,62.900002,65.300003,67.699997,70.099998,72.599998,75,77.400002,0-2,0
10,1,73.281197,.03118,2.2849,66.400002,68.699997,71,73.300003,75.599998,77.900002,80.099998,0-2,1
10,1,71.481796,.03452,2.4676001,64.099998,66.5,69,71.5,73.900002,76.400002,78.900002,0-2,0
11,1,74.538803,.03125,2.3292999,67.599998,69.900002,72.199997,74.5,76.900002,79.199997,81.5,0-2,1
11,1,72.771004,.034639999,2.5208001,65.199997,67.699997,70.300003,72.800003,75.300003,77.800003,80.300003,0-2,0
12,1,75.748802,.031369999,2.3762,68.599998,71,73.400002,75.699997,78.099998,80.5,82.900002,0-2,1
12,1,74.014999,.034790002,2.575,66.300003,68.900002,71.400002,74,76.599998,79.199997,81.699997,0-2,0
13,1,75.217598,.034960002,2.6296,67.300003,70,72.599998,75.199997,77.800003,80.5,83.099998,0-2,0
13,1,76.918602,.031539999,2.4260001,69.599998,72.099998,74.5,76.900002,79.300003,81.800003,84.199997,0-2,1
14,1,78.049698,.031739999,2.4772999,70.599998,73.099998,75.599998,78,80.5,83,85.5,0-2,1
14,1,76.381699,.03514,2.6840999,68.300003,71,73.699997,76.400002,79.099998,81.699997,84.400002,0-2,0
15,1,79.145798,.031970002,2.5302999,71.599998,74.099998,76.599998,79.099998,81.699997,84.199997,86.699997,0-2,1
15,1,77.509903,.03534,2.7392001,69.300003,72,74.800003,77.5,80.199997,83,85.699997,0-2,0
16,1,80.211304,.032219999,2.5843999,72.5,75,77.599998,80.199997,82.800003,85.400002,88,0-2,1
16,1,78.605499,.035549998,2.7944,70.199997,73,75.800003,78.599998,81.400002,84.199997,87,0-2,0
17,1,81.248703,.032499999,2.6406,73.300003,76,78.599998,81.199997,83.900002,86.5,89.199997,0-2,1
17,1,79.670998,.03576,2.849,71.099998,74,76.800003,79.699997,82.5,85.400002,88.199997,0-2,0
18,1,80.707901,.035980001,2.9038999,72,74.900002,77.800003,80.699997,83.599998,86.5,89.400002,0-2,0
18,1,82.258698,.032790001,2.6973,74.199997,76.900002,79.599998,82.300003,85,87.699997,90.400002,0-2,1
19,1,81.718201,.036200002,2.9582,72.800003,75.800003,78.800003,81.699997,84.699997,87.599998,90.599998,0-2,0
19,1,83.241798,.033100002,2.7553,75,77.699997,80.5,83.199997,86,88.800003,91.5,0-2,1
20,1,84.1996,.03342,2.8139999,75.800003,78.599998,81.400002,84.199997,87,89.800003,92.599998,0-2,1
