Month	L	M	S	SD	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
0	1	49.8842	0.03795	1.8931	44.2	46.1	48.0	49.9	51.8	53.7	55.6
1	1	54.7244	0.03557	1.9465	48.9	50.8	52.8	54.7	56.7	58.6	60.6
2	1	58.4249	0.03424	2.0005	52.4	54.4	56.4	58.4	60.4	62.4	64.4
3	1	61.4292	0.03328	2.0444	55.3	57.3	59.4	61.4	63.5	65.5	67.6
4	1	63.8860	0.03257	2.0808	57.6	59.7	61.8	63.9	66.0	68.0	70.1
5	1	65.9026	0.03204	2.1115	59.6	61.7	63.8	65.9	68.0	70.1	72.2
6	1	67.6236	0.03165	2.1403	61.2	63.3	65.5	67.6	69.8	71.9	74.0
7	1	69.1645	0.03139	2.1711	62.7	64.8	67.0	69.2	71.3	73.5	75.7
8	1	70.5994	0.03124	2.2055	64.0	66.2	68.4	70.6	72.8	75.0	77.2
9	1	71.9687	0.03117	2.2433	65.2	67.5	69.7	72.0	74.2	76.5	78.7
10	1	73.2812	0.03118	2.2849	66.4	68.7	71.0	73.3	75.6	77.9	80.1
11	1	74.5388	0.03125	2.3293	67.6	69.9	72.2	74.5	76.9	79.2	81.5
12	1	75.7488	0.03137	2.3762	68.6	71.0	73.4	75.7	78.1	80.5	82.9
13	1	76.9186	0.03154	2.4260	69.6	72.1	74.5	76.9	79.3	81.8	84.2
14	1	78.0497	0.03174	2.4773	70.6	73.1	75.6	78.0	80.5	83.0	85.5
15	1	79.1458	0.03197	2.5303	71.6	74.1	76.6	79.1	81.7	84.2	86.7
16	1	80.2113	0.03222	2.5844	72.5	75.0	77.6	80.2	82.8	85.4	88.0
17	1	81.2487	0.03250	2.6406	73.3	76.0	78.6	81.2	83.9	86.5	89.2
18	1	82.2587	0.03279	2.6973	74.2	76.9	79.6	82.3	85.0	87.7	90.4
19	1	83.2418	0.03310	2.7553	75.0	77.7	80.5	83.2	86.0	88.8	91.5
20	1	84.1996	0.03342	2.8140	75.8	78.6	81.4	84.2	87.0	89.8	92.6
21	1	85.1348	0.03376	2.8742	76.5	79.4	82.3	85.1	88.0	90.9	93.8
22	1	86.0477	0.03410	2.9342	77.2	80.2	83.1	86.0	89.0	91.9	94.9
23	1	86.9410	0.03445	2.9951	78.0	81.0	83.9	86.9	89.9	92.9	95.9
24	1	87.8161	0.03479	3.0551	78.7	81.7	84.8	87.8	90.9	93.9	97.0
