Month	L	M       	S	SD	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
24	1	 87.1161	0.03507	3.0551	78.0	81.0	84.1	87.1	90.2	93.2	96.3
25	1	 87.9720	0.03542	3.1160	78.6	81.7	84.9	88.0	91.1	94.2	97.3
26	1	 88.8065	0.03576	3.1757	79.3	82.5	85.6	88.8	92.0	95.2	98.3
27	1	 89.6197	0.03610	3.2353	79.9	83.1	86.4	89.6	92.9	96.1	99.3
28	1	 90.4120	0.03642	3.2928	80.5	83.8	87.1	90.4	93.7	97.0	100.3
29	1	 91.1828	0.03674	3.3501	81.1	84.5	87.8	91.2	94.5	97.9	101.2
30	1	 91.9327	0.03704	3.4052	81.7	85.1	88.5	91.9	95.3	98.7	102.1
31	1	 92.6631	0.03733	3.4591	82.3	85.7	89.2	92.7	96.1	99.6	103.0
32	1	 93.3753	0.03761	3.5118	82.8	86.4	89.9	93.4	96.9	100.4	103.9
33	1	 94.0711	0.03787	3.5625	83.4	86.9	90.5	94.1	97.6	101.2	104.8
34	1	 94.7532	0.03812	3.6120	83.9	87.5	91.1	94.8	98.4	102.0	105.6
35	1	 95.4236	0.03836	3.6604	84.4	88.1	91.8	95.4	99.1	102.7	106.4
36	1	 96.0835	0.03858	3.7069	85.0	88.7	92.4	96.1	99.8	103.5	107.2
37	1	 96.7337	0.03879	3.7523	85.5	89.2	93.0	96.7	100.5	104.2	108.0
38	1	 97.3749	0.03900	3.7976	86.0	89.8	93.6	97.4	101.2	105.0	108.8
39	1	 98.0073	0.03919	3.8409	86.5	90.3	94.2	98.0	101.8	105.7	109.5
40	1	 98.6310	0.03937	3.8831	87.0	90.9	94.7	98.6	102.5	106.4	110.3
41	1	 99.2459	0.03954	3.9242	87.5	91.4	95.3	99.2	103.2	107.1	111.0
42	1	 99.8515	0.03971	3.9651	88.0	91.9	95.9	99.9	103.8	107.8	111.7
43	1	100.4485	0.03986	4.0039	88.4	92.4	96.4	100.4	104.5	108.5	112.5
44	1	101.0374	0.04002	4.0435	88.9	93.0	97.0	101.0	105.1	109.1	113.2
45	1	101.6186	0.04016	4.0810	89.4	93.5	97.5	101.6	105.7	109.8	113.9
46	1	102.1933	0.04031	4.1194	89.8	94.0	98.1	102.2	106.3	110.4	114.6
47	1	102.7625	0.04045	4.1567	90.3	94.4	98.6	102.8	106.9	111.1	115.2
48	1	103.3273	0.04059	4.1941	90.7	94.9	99.1	103.3	107.5	111.7	115.9
49	1	103.8886	0.04073	4.2314	91.2	95.4	99.7	103.9	108.1	112.4	116.6
50	1	104.4473	0.04086	4.2677	91.6	95.9	100.2	104.4	108.7	113.0	117.3
51	1	105.0041	0.04100	4.3052	92.1	96.4	100.7	105.0	109.3	113.6	117.9
52	1	105.5596	0.04113	4.3417	92.5	96.9	101.2	105.6	109.9	114.2	118.6
53	1	106.1138	0.04126	4.3783	93.0	97.4	101.7	106.1	110.5	114.9	119.2
54	1	106.6668	0.04139	4.4149	93.4	97.8	102.3	106.7	111.1	115.5	119.9
55	1	107.2188	0.04152	4.4517	93.9	98.3	102.8	107.2	111.7	116.1	120.6
56	1	107.7697	0.04165	4.4886	94.3	98.8	103.3	107.8	112.3	116.7	121.2
57	1	108.3198	0.04177	4.5245	94.7	99.3	103.8	108.3	112.8	117.4	121.9
58	1	108.8689	0.0419	4.5616	95.2	99.7	104.3	108.9	113.4	118.0	122.6
59	1	109.4170	0.04202	4.5977	95.6	100.2	104.8	109.4	114.0	118.6	123.2
60	1	109.9638	0.04214	4.6339	96.1	100.7	105.3	110.0	114.6	119.2	123.9
