Height	L	M	S	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
65	-0.3833	7.2402	0.09113	5.6	6.1	6.6	7.2	7.9	8.7	9.7
65.5	-0.3833	7.3523	0.09109	5.7	6.2	6.7	7.4	8.1	8.9	9.8
66	-0.3833	7.4630	0.09104	5.8	6.3	6.8	7.5	8.2	9.0	10.0
66.5	-0.3833	7.5724	0.09099	5.8	6.4	6.9	7.6	8.3	9.1	10.1
67	-0.3833	7.6806	0.09094	5.9	6.4	7.0	7.7	8.4	9.3	10.2
67.5	-0.3833	7.7874	0.09088	6.0	6.5	7.1	7.8	8.5	9.4	10.4
68	-0.3833	7.8930	0.09083	6.1	6.6	7.2	7.9	8.7	9.5	10.5
68.5	-0.3833	7.9976	0.09077	6.2	6.7	7.3	8.0	8.8	9.7	10.7
69	-0.3833	8.1012	0.09071	6.3	6.8	7.4	8.1	8.9	9.8	10.8
69.5	-0.3833	8.2039	0.09065	6.3	6.9	7.5	8.2	9.0	9.9	10.9
70	-0.3833	8.3058	0.09059	6.4	7.0	7.6	8.3	9.1	10.0	11.1
70.5	-0.3833	8.4071	0.09053	6.5	7.1	7.7	8.4	9.2	10.1	11.2
71	-0.3833	8.5078	0.09047	6.6	7.1	7.8	8.5	9.3	10.3	11.3
71.5	-0.3833	8.6078	0.09041	6.7	7.2	7.9	8.6	9.4	10.4	11.5
72	-0.3833	8.7070	0.09035	6.7	7.3	8.0	8.7	9.5	10.5	11.6
72.5	-0.3833	8.8053	0.09028	6.8	7.4	8.1	8.8	9.7	10.6	11.7
73	-0.3833	8.9025	0.09022	6.9	7.5	8.1	8.9	9.8	10.7	11.8
73.5	-0.3833	8.9983	0.09016	7.0	7.6	8.2	9.0	9.9	10.8	12.0
74	-0.3833	9.0928	0.09009	7.0	7.6	8.3	9.1	10.0	11.0	12.1
74.5	-0.3833	9.1862	0.09003	7.1	7.7	8.4	9.2	10.1	11.1	12.2
75	-0.3833	9.2786	0.08996	7.2	7.8	8.5	9.3	10.2	11.2	12.3
75.5	-0.3833	9.3703	0.08989	7.2	7.9	8.6	9.4	10.3	11.3	12.5
76	-0.3833	9.4617	0.08983	7.3	8.0	8.7	9.5	10.4	11.4	12.6
76.5	-0.3833	9.5533	0.08976	7.4	8.0	8.7	9.6	10.5	11.5	12.7
77	-0.3833	9.6456	0.08969	7.5	8.1	8.8	9.6	10.6	11.6	12.8
77.5	-0.3833	9.7390	0.08963	7.5	8.2	8.9	9.7	10.7	11.7	12.9
78	-0.3833	9.8338	0.08956	7.6	8.3	9.0	9.8	10.8	11.8	13.1
78.5	-0.3833	9.9303	0.08950	7.7	8.4	9.1	9.9	10.9	12.0	13.2
