FID,Shape ,loc_id,parent_id,level,loc_name,loc_nm_sh,spr_reg_id,region_id,ihme_lc_id,GAUL_CODE
0,Polygon,160,138,3,Afghanistan,Afghanistan,137,138,AFG,1
1,Polygon,168,167,3,Angola,Angola,166,167,AGO,8
2,Polygon,43,42,3,Albania,Albania,31,42,ALB,3
3,Polygon,156,138,3,United Arab Emirates,UAE,137,138,ARE,255
4,Polygon,97,96,3,Argentina,Argentina,64,96,ARG,12
5,Polygon,33,32,3,Armenia,Armenia,31,32,ARM,13
6,Polygon,71,70,3,Australia,Australia,64,70,AUS,17
7,Polygon,75,73,3,Austria,Austria,64,73,AUT,18
8,Polygon,34,32,3,Azerbaijan,Azerbaijan,31,32,AZE,19
9,Polygon,175,174,3,Burundi,Burundi,166,174,BDI,43
10,Polygon,76,73,3,Belgium,Belgium,64,73,BEL,27
11,Polygon,200,199,3,Benin,Benin,166,199,BEN,29
12,Polygon,201,199,3,Burkina Faso,Burkina Faso,166,199,BFA,42
13,Polygon,161,159,3,Bangladesh,Bangladesh,158,159,BGD,23
14,Polygon,45,42,3,Bulgaria,Bulgaria,31,42,BGR,41
15,Polygon,106,104,3,The Bahamas,Bahamas,103,104,BHS,20
16,Polygon,44,42,3,Bosnia and Herzegovina,Bosnia,31,42,BIH,34
17,Polygon,57,56,3,Belarus,Belarus,31,56,BLR,26
18,Polygon,108,104,3,Belize,Belize,103,104,BLZ,28
19,Polygon,121,120,3,Bolivia,Bolivia,103,120,BOL,33
20,Polygon,135,134,3,Brazil,Brazil,103,134,BRA,37
21,Polygon,66,65,3,Brunei,Brunei,64,65,BRN,40
22,Polygon,162,159,3,Bhutan,Bhutan,158,159,BTN,31
23,Polygon,193,192,3,Botswana,Botswana,166,192,BWA,35
24,Polygon,169,167,3,Central African Republic,C African Rep,166,167,CAF,49
25,Polygon,101,100,3,Canada,Canada,64,100,CAN,46
26,Polygon,94,73,3,Switzerland,Switzerland,64,73,CHE,237
27,Polygon,98,96,3,Chile,Chile,64,96,CHL,51
28,Polygon,6,5,3,China,China,4,5,CHN,147295
29,Polygon,205,199,3,Cote d'Ivoire,Cote d'Ivoire,166,199,CIV,66
30,Polygon,202,199,3,Cameroon,Cameroon,166,199,CMR,45
31,Polygon,171,167,3,Democratic Republic of the Congo,Congo DR,166,167,COD,68
32,Polygon,170,167,3,Congo,Congo,166,167,COG,59
33,Polygon,125,124,3,Colombia,Colombia,103,124,COL,57
34,Polygon,126,124,3,Costa Rica,Costa Rica,103,124,CRI,61
35,Polygon,109,104,3,Cuba,Cuba,103,104,CUB,63
36,Polygon,77,73,3,Cyprus,Cyprus,64,73,CYP,64
37,Polygon,47,42,3,Czech Republic,Czech,31,42,CZE,65
38,Polygon,81,73,3,Germany,Germany,64,73,DEU,93
39,Polygon,177,174,3,Djibouti,Djibouti,166,174,DJI,70
40,Polygon,78,73,3,Denmark,Denmark,64,73,DNK,69
41,Polygon,111,104,3,Dominican Republic,Dominican Rep,103,104,DOM,72
42,Polygon,139,138,3,Algeria,Algeria,137,138,DZA,4
43,Polygon,122,120,3,Ecuador,Ecuador,103,120,ECU,73
44,Polygon,141,138,3,Egypt,Egypt,137,138,EGY,40765
45,Polygon,178,174,3,Eritrea,Eritrea,166,174,ERI,77
46,Polygon,92,73,3,Spain,Spain,64,73,ESP,229
47,Polygon,58,56,3,Estonia,Estonia,31,56,EST,78
48,Polygon,179,174,3,Ethiopia,Ethiopia,166,174,ETH,79
49,Polygon,79,73,3,Finland,Finland,64,73,FIN,84
50,Polygon,22,21,3,Fiji,Fiji,4,21,FJI,83
51,Polygon,80,73,3,France,France,64,73,FRA,85
52,Polygon,173,167,3,Gabon,Gabon,166,167,GAB,89
53,Polygon,95,73,3,United Kingdom,UK,64,73,GBR,256
54,Polygon,35,32,3,Georgia,Georgia,31,32,GEO,92
55,Polygon,207,199,3,Ghana,Ghana,166,199,GHA,94
56,Polygon,208,199,3,Guinea,Guinea,166,199,GIN,106
57,Polygon,206,199,3,The Gambia,Gambia,166,199,GMB,90
58,Polygon,209,199,3,Guinea-Bissau,Guinea-Bissau,166,199,GNB,105
59,Polygon,172,167,3,Equatorial Guinea,Eq Guinea,166,167,GNQ,76
60,Polygon,82,73,3,Greece,Greece,64,73,GRC,97
61,Polygon,349,73,3,Greenland,Greenland,64,73,GRL,98
62,Polygon,128,124,3,Guatemala,Guatemala,103,124,GTM,103
63,Polygon,113,104,3,Guyana,Guyana,103,104,GUY,107
64,Polygon,129,124,3,Honduras,Honduras,103,124,HND,111
65,Polygon,46,42,3,Croatia,Croatia,31,42,HRV,62
66,Polygon,114,104,3,Haiti,Haiti,103,104,HTI,108
67,Polygon,48,42,3,Hungary,Hungary,31,42,HUN,113
68,Polygon,11,9,3,Indonesia,Indonesia,4,9,IDN,116
69,Polygon,163,159,3,India,India,158,159,IND,115
70,Polygon,84,73,3,Ireland,Ireland,64,73,IRL,119
71,Polygon,142,138,3,Iran,Iran,137,138,IRN,117
72,Polygon,143,138,3,Iraq,Iraq,137,138,IRQ,118
73,Polygon,83,73,3,Iceland,Iceland,64,73,ISL,114
74,Polygon,85,73,3,Israel,Israel,64,73,ISR,121
75,Polygon,86,73,3,Italy,Italy,64,73,ITA,122
76,Polygon,115,104,3,Jamaica,Jamaica,103,104,JAM,123
77,Polygon,144,138,3,Jordan,Jordan,137,138,JOR,130
78,Polygon,67,65,3,Japan,Japan,64,65,JPN,126
79,Polygon,36,32,3,Kazakhstan,Kazakhstan,31,32,KAZ,132
80,Polygon,180,174,3,Kenya,Kenya,166,174,KEN,133
81,Polygon,37,32,3,Kyrgyzstan,Kyrgyzstan,31,32,KGZ,138
82,Polygon,10,9,3,Cambodia,Cambodia,4,9,KHM,44
83,Polygon,68,65,3,South Korea,S Korea,64,65,KOR,202
84,Polygon,145,138,3,Kuwait,Kuwait,137,138,KWT,137
85,Polygon,12,9,3,Laos,Laos,4,9,LAO,139
86,Polygon,146,138,3,Lebanon,Lebanon,137,138,LBN,141
87,Polygon,210,199,3,Liberia,Liberia,166,199,LBR,144
88,Polygon,147,138,3,Libya,Libya,137,138,LBY,145
89,Polygon,17,9,3,Sri Lanka,Sri Lanka,4,9,LKA,231
90,Polygon,194,192,3,Lesotho,Lesotho,166,192,LSO,142
91,Polygon,60,56,3,Lithuania,Lithuania,31,56,LTU,147
92,Polygon,87,73,3,Luxembourg,Luxembourg,64,73,LUX,148
93,Polygon,59,56,3,Latvia,Latvia,31,56,LVA,140
94,Polygon,148,138,3,Morocco,Morocco,137,138,MAR,169
95,Polygon,61,56,3,Moldova,Moldova,31,56,MDA,165
96,Polygon,181,174,3,Madagascar,Madagascar,166,174,MDG,150
97,Polygon,130,124,3,Mexico,Mexico,103,124,MEX,162
98,Polygon,49,42,3,Macedonia,Macedonia,31,42,MKD,241
99,Polygon,211,199,3,Mali,Mali,166,199,MLI,155
100,Polygon,15,9,3,Myanmar,Myanmar,4,9,MMR,171
101,Polygon,50,42,3,Montenegro,Montenegro,31,42,MNE,2647
102,Polygon,38,32,3,Mongolia,Mongolia,31,32,MNG,167
103,Polygon,184,174,3,Mozambique,Mozambique,166,174,MOZ,170
104,Polygon,212,199,3,Mauritania,Mauritania,166,199,MRT,159
105,Polygon,182,174,3,Malawi,Malawi,166,174,MWI,152
106,Polygon,13,9,3,Malaysia,Malaysia,4,9,MYS,153
107,Polygon,195,192,3,Namibia,Namibia,166,192,NAM,172
108,Polygon,213,199,3,Niger,Niger,166,199,NER,181
109,Polygon,214,199,3,Nigeria,Nigeria,166,199,NGA,182
110,Polygon,131,124,3,Nicaragua,Nicaragua,103,124,NIC,180
111,Polygon,89,73,3,Netherlands,Netherlands,64,73,NLD,177
112,Polygon,90,73,3,Norway,Norway,64,73,NOR,186
113,Polygon,164,159,3,Nepal,Nepal,158,159,NPL,175
114,Polygon,72,70,3,New Zealand,New Zealand,64,70,NZL,179
115,Polygon,150,138,3,Oman,Oman,137,138,OMN,187
116,Polygon,165,159,3,Pakistan,Pakistan,158,159,PAK,188
117,Polygon,132,124,3,Panama,Panama,103,124,PAN,191
118,Polygon,123,120,3,Peru,Peru,103,120,PER,195
119,Polygon,16,9,3,Philippines,Philippines,4,9,PHL,196
120,Polygon,26,21,3,Papua New Guinea,PNG,4,21,PNG,192
121,Polygon,51,42,3,Poland,Poland,31,42,POL,198
122,Polygon,385,104,3,Puerto Rico,Puerto Rico,103,104,PRI,200
123,Polygon,7,5,3,North Korea,N Korea,4,5,PRK,67
124,Polygon,91,73,3,Portugal,Portugal,64,73,PRT,199
125,Polygon,136,134,3,Paraguay,Paraguay,103,134,PRY,194
126,Polygon,151,138,3,Qatar,Qatar,137,138,QAT,201
127,Polygon,52,42,3,Romania,Romania,31,42,ROU,203
128,Polygon,62,56,3,Russia,Russia,31,56,RUS,204
129,Polygon,185,174,3,Rwanda,Rwanda,166,174,RWA,205
130,Polygon,152,138,3,Saudi Arabia,Saudi Arabia,137,138,SAU,215
131,Polygon,522,138,3,Sudan,Sudan,137,138,SDN,6
132,Polygon,435,174,3,South Sudan,S Sudan,166,174,SSD,74
133,Polygon,216,199,3,Senegal,Senegal,166,199,SEN,217
134,Polygon,28,21,3,Solomon Islands,Solomon,4,21,SLB,225
135,Polygon,217,199,3,Sierra Leone,Sierra Leone,166,199,SLE,221
136,Polygon,127,124,3,El Salvador,El Salvador,103,124,SLV,75
137,Polygon,187,174,3,Somalia,Somalia,166,174,SOM,226
138,Polygon,53,42,3,Serbia,Serbia,31,42,SRB,2648
139,Polygon,118,104,3,Suriname,Suriname,103,104,SUR,233
140,Polygon,54,42,3,Slovakia,Slovakia,31,42,SVK,223
141,Polygon,55,42,3,Slovenia,Slovenia,31,42,SVN,224
142,Polygon,93,73,3,Sweden,Sweden,64,73,SWE,236
143,Polygon,197,192,3,Swaziland,Swaziland,166,192,SWZ,235
144,Polygon,153,138,3,Syria,Syria,137,138,SYR,238
145,Polygon,204,199,3,Chad,Chad,166,199,TCD,50
146,Polygon,218,199,3,Togo,Togo,166,199,TGO,243
147,Polygon,18,9,3,Thailand,Thailand,4,9,THA,240
148,Polygon,39,32,3,Tajikistan,Tajikistan,31,32,TJK,239
149,Polygon,40,32,3,Turkmenistan,Turkmenistan,31,32,TKM,250
150,Polygon,19,9,3,Timor-Leste,Timor-Leste,4,9,TLS,242
151,Polygon,119,104,3,Trinidad and Tobago,Trinidad Tobago,103,104,TTO,246
152,Polygon,154,138,3,Tunisia,Tunisia,137,138,TUN,248
153,Polygon,155,138,3,Turkey,Turkey,137,138,TUR,249
154,Polygon,8,5,3,Taiwan,Taiwan,4,5,TWN,147296
155,Polygon,189,174,3,Tanzania,Tanzania,166,174,TZA,257
156,Polygon,190,174,3,Uganda,Uganda,166,174,UGA,253
157,Polygon,63,56,3,Ukraine,Ukraine,31,56,UKR,254
158,Polygon,99,96,3,Uruguay,Uruguay,64,96,URY,260
159,Polygon,102,100,3,United States,US,64,100,USA,259
160,Polygon,41,32,3,Uzbekistan,Uzbekistan,31,32,UZB,261
161,Polygon,133,124,3,Venezuela,Venezuela,103,124,VEN,263
162,Polygon,20,9,3,Vietnam,Vietnam,4,9,VNM,264
163,Polygon,30,21,3,Vanuatu,Vanuatu,4,21,VUT,262
164,Polygon,149,138,3,Palestine,Palestine,137,138,PSE,267
165,Polygon,157,138,3,Yemen,Yemen,137,138,YEM,269
166,Polygon,196,192,3,South Africa,S Africa,166,192,ZAF,227
167,Polygon,191,174,3,Zambia,Zambia,166,174,ZMB,270
168,Polygon,198,192,3,Zimbabwe,Zimbabwe,166,192,ZWE,271
169,Polygon,4709,11,4,Aceh,Aceh,4,9,IDN_4709,2059
170,Polygon,4726,11,4,Bali,Bali,4,9,IDN_4726,-1
171,Polygon,4717,11,4,Bangka Belitung,Bangka Belitung,4,9,IDN_4717,-1
172,Polygon,4725,11,4,Banten,Banten,4,9,IDN_4725,-1
173,Polygon,4715,11,4,Bengkulu,Bengkulu,4,9,IDN_4715,-1
174,Polygon,4737,11,4,Gorontalo,Gorontalo,4,9,IDN_4737,-1
175,Polygon,4741,11,4,Papua Barat,Papua Barat,4,9,IDN_4741,-1
176,Polygon,4720,11,4,Jakarta,Jakarta,4,9,IDN_4720,-1
177,Polygon,4713,11,4,Jambi,Jambi,4,9,IDN_4713,-1
178,Polygon,4721,11,4,Jawa Barat,Jawa Barat,4,9,IDN_4721,-1
179,Polygon,4722,11,4,Jawa Tengah,Jawa Tengah,4,9,IDN_4722,-1
180,Polygon,4724,11,4,Jawa Timur,Jawa Timur,4,9,IDN_4724,-1
181,Polygon,4729,11,4,Kalimantan Barat,Kalimantan Barat,4,9,IDN_4729,-1
182,Polygon,4731,11,4,Kalimantan Selatan,Kalimantan Selatan,4,9,IDN_4731,-1
183,Polygon,4730,11,4,Kalimantan Tengah,Kalimantan Tengah,4,9,IDN_4730,-1
184,Polygon,4732,11,4,Kalimantan Timur,Kalimantan Timur,4,9,IDN_4732,-1
185,Polygon,4719,11,4,Kalimantan Utara,Kalimantan Utara,4,9,IDN_4719,-1
186,Polygon,4718,11,4,Kepulauan Riau,Kepulauan Riau,4,9,IDN_4718,-1
187,Polygon,4716,11,4,Lampung,Lampung,4,9,IDN_4716,-1
188,Polygon,4740,11,4,Maluku Utara,Maluku Utara,4,9,IDN_4740,-1
189,Polygon,4739,11,4,Maluku,Maluku,4,9,IDN_4739,-1
190,Polygon,4727,11,4,Nusa Tenggara Barat,Nusa Tenggara Barat,4,9,IDN_4727,-1
191,Polygon,4728,11,4,Nusa Tenggara Timur,Nusa Tenggara Timur,4,9,IDN_4728,-1
192,Polygon,4742,11,4,Papua,Papua,4,9,IDN_4742,-1
193,Polygon,4712,11,4,Riau,Riau,4,9,IDN_4712,-1
194,Polygon,4738,11,4,Sulawesi Barat,Sulawesi Barat,4,9,IDN_4738,-1
