"","covariate","measure","include","gbd"
"1","access2","mean",TRUE,FALSE
"2","aridity","mean",TRUE,FALSE
"3","distriverslakes","mean",TRUE,FALSE
"4","dpt3_cov","mean",TRUE,FALSE
"5","elevation","mean",TRUE,FALSE
"6","fertility","mean",TRUE,FALSE
"7","ghslurbanicity","mean",TRUE,FALSE
"8","herreronyield","vita",TRUE,FALSE
"9","irrigation","mean",TRUE,FALSE
"10","landcover","proportionalclass13",TRUE,FALSE
"11","sanitation_prop","mean",TRUE,TRUE
"12","stunting_mod_b","mean",TRUE,FALSE
"13","wasting_mod_b","mean",TRUE,FALSE
"14","worldpop_raked","a0004t",TRUE,FALSE
